"root_branch","indented"
"analytics","Chromatography"
"analytics","  GC-Olfactometry (GC-O)"
"analytics","  GCMS"
"analytics","  HPLC"
"analytics","  HS-SPME"
"analytics","  LCMS"
"analytics","  SAFE (Solvent-Assisted Flavor Evaporation)"
"analytics","Omics"
"analytics","  Genomics"
"analytics","  Lipidomics"
"analytics","  Metabolomics"
"analytics","  Peptidomics"
"analytics","  Proteomics"
"analytics","  Transcriptomics"
"analytics","  Volatilomics"
"analytics","Sensory analysis"
"analytics","  Aroma Extract Dilution Analysis (AEDA)"
"analytics","  Consumer panel"
"analytics","  Electronic nose"
"analytics","  Electronic tongue"
"analytics","  QDA (Quantitative Descriptive Analysis)"
"analytics","  Sniffing"
"analytics","  Tasting"
"analytics","  Threshold testing / odor activity values"
"analytics","  Time-intensity analysis"
"analytics","Spectroscopy"
"analytics","  FTIR"
"analytics","  Mass spectrometry"
"analytics","  NMR spectroscopy"
"flavor_chemistry","Heme"
"flavor_chemistry","  Hemoglobin"
"flavor_chemistry","  Leghemoglobin"
"flavor_chemistry","  Myoglobin"
"flavor_chemistry","Matrix interactions"
"flavor_chemistry","Metallic"
"flavor_chemistry","Modeling"
"flavor_chemistry","  AI / ML"
"flavor_chemistry","  PINN (Physics-Informed NN)"
"flavor_chemistry","Process flavor"
"flavor_chemistry","  Caramelization"
"flavor_chemistry","  Maillard"
"flavor_chemistry","    Amadori rearrangement"
"flavor_chemistry","    Amino acids"
"flavor_chemistry","    Furan chemistry"
"flavor_chemistry","    Heyns rearrangement"
"flavor_chemistry","    Peptide"
"flavor_chemistry","    Primary sugars"
"flavor_chemistry","    Pyrazine chemistry"
"flavor_chemistry","    Strecker degradation"
"flavor_chemistry","    Sulfur chemistry"
"flavor_chemistry","      Disulfides"
"flavor_chemistry","      Polysulfides"
"flavor_chemistry","      Thiols"
"flavor_chemistry","      Thiophenes"
"flavor_chemistry","    Vitamins"
"flavor_chemistry","  Maillard-Lipid interaction"
"flavor_chemistry","  Oil chemistry"
"flavor_chemistry","    Lipid oxidation"
"flavor_chemistry","    Lipoxygenase pathway (LOX)"
"flavor_chemistry","    β-oxidation"
"flavor_ingredients","Encapsulated flavors"
"flavor_ingredients","Enzymatic processing"
"flavor_ingredients","Fermentation"
"flavor_ingredients","Flavor house"
"flavor_ingredients","Flavor modulators"
"flavor_ingredients","  Bitter blockers"
"flavor_ingredients","  Kokumi enhancers"
"flavor_ingredients","  Salt enhancers"
"flavor_ingredients","  Umami enhancers"
"flavor_ingredients","Hydrolyzed Vegetable Protein (HVP)"
"flavor_ingredients","Liquid smoke"
"flavor_ingredients","Maillard intermediates as ingredients"
"flavor_ingredients","Plant-fat alternatives"
"flavor_ingredients","  Oleogels"
"flavor_ingredients","  Structured fats"
"flavor_ingredients","Reaction flavors / process flavors"
"flavor_ingredients","Yeast extract"
"meat_analogs","Meat analogs"
"meat_analogs","  3D-printed meat"
"meat_analogs","  Beany note reduction"
"meat_analogs","  Cultivated / cell-based meat"
"meat_analogs","  HMMA (high-moisture meat analogs)"
"meat_analogs","  Heme analogues (synthetic biology)"
"meat_analogs","  Hybrid products (animal + plant)"
"meat_analogs","  LMMA (low-moisture meat analogs / TVP)"
"meat_analogs","  Mycoprotein"
"meat_analogs","  Off-note masking"
"meat_analogs","  Plant-based proteins"
"meat_analogs","  Precision fermentation"
"meat_science","Connective tissue chemistry"
"meat_science","  Collagen"
"meat_science","  Elastin"
"meat_science","Culinary aspects"
"meat_science","  Cooking"
"meat_science","  Grill"
"meat_science","Meat aroma"
"meat_science","Meat flavor"
"meat_science","  Marbling / intramuscular fat"
"meat_science","  Myoglobin (meat)"
"meat_science","Processing"
"meat_science","  Ageing"
"meat_science","  Brining / salting"
"meat_science","  Curing"
"meat_science","  Fermentation (meat)"
"meat_science","  Post-rigor biochemistry"
"meat_science","  Pre-rigor biochemistry"
"meat_science","  Smoking"
"meat_science","  Thermal"
